"Zip/Postal Code","PSČ"
"State/Province","Provincie"
"Billing address","Platební adresa"
"Already registered? Click here to login.","Již zagistrován(a)? Klikněte zde pro přihlášení."
"Create an account for later use","Vytvořit účet pro pozdější použití."
"Ship to the same address","Odeslat na stejnou adresu."
"Shipping method","Dodací metoda"
"Payment method","Platební metoda"
"Review your order","Rekapitulace vaší objednávky"
"Product","Produkt"
"Qty","Počet"
"Subtotal","Mezisoučet"
"Subscribe to our newsletter","Přihlásit pro odběr novinek"
"Tax","DPH"
"Grand total","Celkový součet"
"Please choose a shipping method.","Vyberte prosím dodací metodu."
"Please choose a payment method.","Vyberte prosím platební metodu."
"Please enter valid details below.","Vyplňte prosím níže správné údaje."
"Please check red fields below and try again.","Zkontrolujte prosím červená pole a zkuste znovu."
"Login","Přihlášení"
"Please login with your email address and password.","Přihlaste se prosím svým emailem a heslem."
"Email address","Emailové adresa"
"Password","Heslo"
"Confirm password","Potvrzení hesla"
"Forgotten your password?","Zapomněli jste své heslo?"
"Close","Zavřít"
"Please enter a username and password.","Vložte prosím svůj email a heslo."
"Invalid login or password.","Neplatný email nebo heslo."
"Enter your email below and we'll send you a new password by email.","Vložte svoji emailovou adresu níže a my vám zašleme nové heslo."
"Send password","Odeslat heslo"
"Return to login","Návrat k přihlášení"
"Please enter a valid email address","Vyplňte prosím níže správnou emailovou adresu."
"Please enter a registered email address.","Vyplňte prosím registrovanou emailovou adresu."
"Invalid email address.","Neplatná emailová adresa."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Emailová adresa je již registrována. <a href=""#"" onclick=""login_popup.show(); return false;"">Přihlašte se zde</a> nebo použijte jinou emailovou adresu."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Příjímám <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Obchodní podmínky</a>"
"Comments","Komentáře"
"You need to have products in your cart to checkout, and your cart is empty.","Abyste mohli přejít k pokladně, musíte mít ve svém košík produkty. Váš košík je aktuálně prázdný."
"Back to homepage","Návrat na homepage"
"Coupon code:","Slevový kód"
"Apply Coupon","Aplikovat slevový kód"
"Please enter a valid coupon code.","Vložte prosím platný slevový kód"
"Cancel Coupon","Zrušit slevový kód"
"Shipping address","Dodací adresa"
"How did you hear about us?","Jak jste se o nás dozvěděli?"
"Please choose","Vyberte prosím",
"Other","Další",
"Please specify:","Specifikujte prosím:"
