"Extra Downloads","Extra Downloads"
"aheadWorks - Extra Downloads","aheadWorks - Extra Downloads"
"General Options","General Options"
"Enabled","Enabled"
"Reset statistics","Reset statistics"
"Extra Downloads","Extra Downloads"
"Use Default Value","Use Default Value"
"Enabled","Enabled"
"Section title","Section title"
"Files","Files"
"Title","Title"
"Visible","Visible"
"File","File"
"Sort Order","Sort Order"
"File:","File:"
"URL:","URL:"
"Filename","Filename"
"Downloads","Downloads"
"Reset","Reset"
"There are no files","There are no files"
"Upload Files","Upload Files"
"Are you sure?","Are you sure?"
"Statistics has been cleared","Statistics has been cleared"
"Statistics clean error","Statistics clean error"
"Cant upload file larger than %s Mb","Cant upload file larger than %s Mb"
