%s Support (free),%s Support (free)
Contact Email,Contact Email
"Contact MageWorx Support Team or visit <a href=""%s"">%s</a> for additional information","Contact MageWorx Support Team or visit <a href=""%s"">%s</a> for additional information"
Contact Name,Contact Name
Customers,Customers
Extensions Information,Extensions Information
Get Support,Get Support
Installed MageWorx Extensions,Installed MageWorx Extensions
Magento Related Support (paid),Magento Related Support (paid)
MageWorx &gt; Extensions &amp; Support,MageWorx &gt; Extensions &amp; Support
MageWorx &gt; Sales,MageWorx &gt; Sales
MageWorx &gt; SEO Suite,MageWorx &gt; SEO Suite
Message,Message
Message sent,Message sent
Other Reason,Other Reason
Please select,Please select
Reason,Reason
Request New Extension Development (paid),Request New Extension Development (paid)
Sales,Sales
Send,Send
SEO Suite,SEO Suite
Subject,Subject
Tweaks,Tweaks
