"Zip/Postal Code","Código Postal"
"State/Province","Provincia"
"Billing address","Dirección de Facturación"
"Already registered? Click here to login.","Ya estás regístrado? Haz clic aquí para login."
"Create an account for later use","Abrir una cuenta para utilizar luego"
"Ship to the same address","Enviar a la misma dirección"
"Shipping method","Forma de envío"
"Payment method","Forma de pago"
"Review your order","Revisar tu pedido"
"Product","Producto"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Subscribe to our newsletter","Suscribirse a nuestra boletín informativa"
"Tax","Impuestos"
"Grand total","Total"
"Please choose a shipping method.","Por favor elige una forma de envío"
"Please choose a payment method.","Por favor elige una forma de pago"
"Please enter valid details below.","Por favor introduce tu información válida abajo"
"Please check red fields below and try again.","Por favor comprueba que la información en los espacios marcados en rojo sea corecta y intanta otra vez"
"Login","Login"
"Please login with your email address and password.","Por favor entra en tu cuenta con tu E-maily contraseña"
"Email address","E-mail"
"Password","Contraseña"
"Confirm password","Confirma contraseña"
"Forgotten your password?","¿Has olvidado tu contraseña?"
"Close","Cerrar"
"Login","Login"
"Please enter a username and password.","Por favor introduce tu nombre de usuario"
"Invalid login or password.","El nombre del usuario o la contrasña no es válido"
"Enter your email below and we'll send you a new password by email.","Indroduce abajo tu e-mail y te mandaremos una contraseña nueva"
"Send password","Mandar contraseña"
"Return to login","Volver al login"
"Please enter a valid email address","Por favor entra un e-mail válido"
"Please enter a registered email address.","Por Favor entra un e-mail regístrado"
"Invalid email address.","El e-mail no es válido"
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Este e-mail ya está regístrado. Por favor <a href=""#"" onclick=""login_popup.show(); return false;"">entrar ahora</a> o introduce otro e-mail."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Estoy de acuerdo con <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">los Terminos y Condiciones</a>"
"Comments","Commentarios"
"You need to have products in your cart to checkout, and your cart is empty.","Hay que tener productos en tu cesta para hacer el checkout, y tu cesta está vacía"
"Back to homepage","Volver a la página inicial"
"Coupon code:","Código del vale"
"Apply Coupon","Utilizar el vale"
"Please enter a valid coupon code.","Por favor entra un codigo de vale válido"
"Cancel Coupon","cancelar vale"
"Shipping address","Dirección de envío"
